id,category_id,slug,name,image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description
1,3,product-1,Product 1,product_1.jpg,Small desc for product 1,91,Long description for product 1,330.83,456.57,0,1,New,Meta Title Product 1,"keyword1, product",Meta description for product 1
2,6,product-2,Product 2,product_2.jpg,Small desc for product 2,65,Long description for product 2,701.5,54.96,0,1,Sale,Meta Title Product 2,"keyword2, product",Meta description for product 2
3,4,product-3,Product 3,product_3.jpg,Small desc for product 3,30,Long description for product 3,662.47,882.59,1,1,New,Meta Title Product 3,"keyword3, product",Meta description for product 3
4,7,product-4,Product 4,product_4.jpg,Small desc for product 4,98,Long description for product 4,272.44,817.74,1,0,Popular,Meta Title Product 4,"keyword4, product",Meta description for product 4
5,9,product-5,Product 5,product_5.jpg,Small desc for product 5,60,Long description for product 5,38.93,558.07,0,1,Popular,Meta Title Product 5,"keyword5, product",Meta description for product 5
6,8,product-6,Product 6,product_6.jpg,Small desc for product 6,69,Long description for product 6,653.01,425.1,1,1,Sale,Meta Title Product 6,"keyword6, product",Meta description for product 6
7,4,product-7,Product 7,product_7.jpg,Small desc for product 7,43,Long description for product 7,432.71,263.11,1,1,New,Meta Title Product 7,"keyword7, product",Meta description for product 7
8,1,product-8,Product 8,product_8.jpg,Small desc for product 8,28,Long description for product 8,521.47,331.17,1,1,New,Meta Title Product 8,"keyword8, product",Meta description for product 8
9,1,product-9,Product 9,product_9.jpg,Small desc for product 9,41,Long description for product 9,455.55,559.0,1,1,New,Meta Title Product 9,"keyword9, product",Meta description for product 9
10,6,product-10,Product 10,product_10.jpg,Small desc for product 10,41,Long description for product 10,267.94,707.6,0,0,Sale,Meta Title Product 10,"keyword10, product",Meta description for product 10
11,6,product-11,Product 11,product_11.jpg,Small desc for product 11,61,Long description for product 11,422.57,541.13,0,1,Popular,Meta Title Product 11,"keyword11, product",Meta description for product 11
12,5,product-12,Product 12,product_12.jpg,Small desc for product 12,12,Long description for product 12,72.24,108.42,0,0,New,Meta Title Product 12,"keyword12, product",Meta description for product 12
13,1,product-13,Product 13,product_13.jpg,Small desc for product 13,62,Long description for product 13,907.1,266.19,0,0,New,Meta Title Product 13,"keyword13, product",Meta description for product 13
14,7,product-14,Product 14,product_14.jpg,Small desc for product 14,16,Long description for product 14,449.22,892.71,0,1,Popular,Meta Title Product 14,"keyword14, product",Meta description for product 14
15,10,product-15,Product 15,product_15.jpg,Small desc for product 15,33,Long description for product 15,150.44,559.87,1,1,Popular,Meta Title Product 15,"keyword15, product",Meta description for product 15
16,8,product-16,Product 16,product_16.jpg,Small desc for product 16,41,Long description for product 16,435.66,294.28,0,0,Popular,Meta Title Product 16,"keyword16, product",Meta description for product 16
17,5,product-17,Product 17,product_17.jpg,Small desc for product 17,89,Long description for product 17,107.72,627.12,1,0,Popular,Meta Title Product 17,"keyword17, product",Meta description for product 17
18,5,product-18,Product 18,product_18.jpg,Small desc for product 18,55,Long description for product 18,410.99,409.66,0,1,Popular,Meta Title Product 18,"keyword18, product",Meta description for product 18
19,6,product-19,Product 19,product_19.jpg,Small desc for product 19,70,Long description for product 19,515.89,808.34,0,1,New,Meta Title Product 19,"keyword19, product",Meta description for product 19
